"party","levels_of_party","race","gender","education","state_of_residence","president_voted_for","immigration_importance","environment_importance","gay_rights_importance","health_care_importance","climate_change_importance","abortion_importance","racial_equality_importance","gender_equality_importance","legality_abortion","gay_marriage","police_racial_bias","global_warming","religion_importance","age_group","ideology"
2,7,1,1,5,53,2,2,3,4,1,4,2,4,4,2,2,1,4,1,"4","2"
1,1,1,2,3,12,1,2,2,2,1,1,1,1,2,1,1,2,1,3,"4","1"
3,4,1,2,6,48,1,3,1,1,1,1,2,2,1,1,1,2,1,3,"3","3"
3,4,1,1,6,17,1,3,1,2,2,1,4,2,1,1,1,2,1,3,"3","2"
1,1,1,2,6,17,1,3,2,2,2,2,1,2,1,1,1,2,1,4,"4","1"
2,7,1,2,2,6,2,1,1,1,1,2,1,1,1,3,2,1,4,1,"5","2"
1,1,1,2,2,4,1,2,1,2,2,1,2,1,2,1,1,2,1,2,"5","3"
1,1,3,1,5,39,1,4,1,3,1,1,3,1,1,2,1,2,1,3,"4","3"
3,4,1,1,2,25,1,2,2,3,1,2,3,2,2,2,1,2,2,4,"4","3"
2,7,1,1,6,36,6,2,3,4,2,4,1,2,4,3,2,1,2,1,"2","2"
1,1,1,2,6,41,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
1,1,1,1,2,17,1,1,1,1,1,1,2,1,1,1,1,2,1,4,"4","1"
1,1,1,1,3,4,1,3,1,2,2,1,3,1,1,3,1,2,1,4,"4","1"
3,4,1,1,5,9,6,2,2,3,2,2,1,2,3,3,2,1,2,1,"4","3"
3,4,1,2,6,26,2,1,1,2,1,2,1,1,1,3,2,8,2,1,"4","2"
2,7,1,1,3,40,2,1,2,4,1,4,1,2,2,3,2,1,4,1,"4","2"
3,4,7,1,6,21,2,1,2,4,1,4,2,4,4,2,8,1,3,1,"4","3"
2,7,1,1,6,22,2,2,2,2,1,3,2,2,2,NA,NA,NA,3,1,"4","2"
3,5,1,1,5,13,2,1,2,3,2,3,2,2,3,2,2,1,3,2,"4","2"
1,1,1,1,5,19,1,3,1,3,1,1,3,2,2,1,2,8,1,2,"4","1"
3,5,1,1,5,46,2,2,3,3,2,3,2,2,3,3,8,1,3,1,"3","2"
4,5,1,1,3,36,2,1,4,4,2,4,3,4,4,2,2,1,4,2,"4","2"
3,3,2,1,6,26,1,2,2,2,1,2,3,1,2,2,1,2,1,2,"4","3"
2,6,1,1,5,37,2,2,2,4,2,4,2,2,4,2,2,1,4,1,"4","2"
2,7,1,2,3,12,2,1,2,4,2,4,2,2,3,2,8,1,2,1,"5","2"
2,7,1,1,5,12,2,2,4,4,3,4,1,4,4,3,2,1,4,1,"3","2"
2,6,1,1,2,12,2,3,3,3,2,3,3,4,3,2,8,1,3,4,"4","2"
2,6,1,2,3,12,2,1,3,3,2,4,1,3,4,2,2,1,4,1,"5","2"
2,6,1,1,5,38,2,2,4,1,1,4,4,2,2,8,1,1,4,4,"4","2"
2,6,1,1,5,27,2,1,2,3,1,3,1,2,2,2,2,1,2,2,"4","2"
1,2,1,1,3,55,1,3,1,3,1,1,4,3,2,1,1,2,1,3,"4","1"
2,6,1,1,6,25,2,1,4,4,1,4,4,3,4,2,2,8,3,3,"4","2"
1,2,1,1,5,53,1,2,2,1,1,2,1,2,2,2,1,1,1,4,"5","3"
2,7,1,1,2,34,2,2,NA,4,1,NA,2,3,4,2,2,1,3,2,"5","2"
3,3,2,1,3,24,1,1,2,3,1,2,4,1,1,1,8,2,1,4,"5","3"
2,7,1,1,5,12,2,2,3,3,3,4,4,4,NA,2,1,1,3,3,"4","2"
3,4,1,2,3,28,1,3,1,3,1,1,3,2,2,1,1,8,1,4,"4","3"
2,7,1,1,5,21,2,2,4,4,3,4,4,4,4,2,2,1,3,1,"4","2"
3,3,1,2,4,26,2,2,2,1,1,2,2,2,2,2,1,1,2,1,"4","3"
3,4,1,2,6,45,2,1,4,4,2,4,2,4,4,2,1,1,4,2,"4","2"
3,4,1,1,3,6,2,1,4,4,2,4,1,4,4,2,8,1,4,1,"5","2"
3,4,1,1,2,25,2,1,3,4,1,4,4,4,4,1,1,1,2,3,"3","3"
2,7,1,1,4,4,2,3,2,3,1,3,1,3,3,2,2,1,2,1,"4","2"
2,7,1,2,3,42,2,2,3,4,1,3,1,4,4,2,8,1,4,3,"4","2"
3,4,1,2,6,8,2,3,2,3,2,3,2,2,2,1,1,1,2,4,"3","3"
1,1,1,2,5,53,1,1,1,1,1,1,1,1,1,1,1,2,1,2,"4","1"
3,4,1,1,5,48,3,2,1,3,2,1,3,4,4,2,1,1,1,2,"3","3"
2,6,1,1,3,6,2,4,3,4,1,3,2,3,4,8,2,1,4,1,"4","2"
3,3,1,1,5,53,1,2,1,2,2,1,2,2,1,1,1,2,1,2,"3","1"
3,4,1,1,2,48,2,2,2,2,2,1,2,1,1,2,1,1,1,4,"5","3"
3,5,1,1,6,29,2,3,3,3,1,3,3,2,4,1,1,1,3,2,"4","3"
3,4,6,1,5,12,2,1,2,4,1,4,2,4,4,2,2,1,4,4,"3","2"
3,4,1,1,3,49,2,1,1,1,1,1,1,1,1,2,1,1,2,3,"4","3"
3,4,1,2,6,32,2,1,3,2,3,4,4,2,3,2,1,1,1,4,"4","3"
2,7,1,2,3,53,2,1,3,4,1,4,1,4,4,3,2,1,4,1,"4","2"
2,7,2,1,4,4,2,1,3,4,1,4,1,4,4,2,2,1,4,2,"5","2"
3,3,1,1,3,40,1,2,1,1,1,1,2,2,2,1,1,2,1,4,"3","3"
2,7,1,2,2,12,2,1,2,3,1,2,1,3,2,3,8,1,3,1,"5","2"
2,7,1,1,6,42,2,2,3,4,2,3,4,2,3,2,2,1,3,1,"5","2"
3,4,1,1,3,55,2,1,2,4,2,4,4,4,4,2,1,1,4,4,"3","2"
3,4,1,2,6,6,2,1,1,3,2,2,2,3,3,2,1,1,2,1,"3","3"
2,7,1,1,2,27,2,1,2,2,1,2,1,1,2,2,2,1,3,1,"4","2"
2,6,1,1,2,36,2,1,2,3,1,3,1,3,3,2,8,1,3,3,"4","2"
1,1,1,2,3,36,1,2,2,2,1,2,1,1,2,1,1,2,1,4,"5","1"
3,4,1,1,5,6,2,1,2,3,1,3,1,2,4,3,2,1,3,1,"4","2"
1,1,1,1,5,12,1,2,1,2,2,1,2,1,2,2,1,2,1,4,"4","1"
3,5,1,1,3,55,2,2,3,3,3,4,2,2,3,2,8,1,4,2,"3","3"
1,1,2,1,3,48,1,1,2,1,1,2,1,1,1,2,1,2,2,4,"4","1"
3,5,7,2,5,36,2,1,3,4,1,4,2,4,4,2,8,1,4,2,"4","3"
2,7,1,2,3,42,2,1,1,4,1,2,1,2,3,2,2,1,2,1,"4","2"
